renderer	target	kubernetes	talosctl	machinery	controlplane_sha256	worker_sha256	machinery_output	talosctl_repeat
v1.14.1	v1.14.0	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.14.1	v1.14.0	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
v1.14.1	v1.15.0	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.14.1	v1.15.0	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
v1.14.1	1.13	default	0:M1	0:M2	b8aa3d88d7493568082f956d838815a7a5a558b30773e6395c7dcf3367efab87	b18fa4c26691f61250e73fd8f84598ef0808847ae8edab5f34d5e880fb313fe3	same	same
v1.14.1	1.13	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.14.1	v1.13.6	default	0:M1	0:M2	b8aa3d88d7493568082f956d838815a7a5a558b30773e6395c7dcf3367efab87	b18fa4c26691f61250e73fd8f84598ef0808847ae8edab5f34d5e880fb313fe3	same	same
v1.14.1	v1.13.6	1.36.2	0:M1	0:M2	672ba43a6651ea86ab367e7848c380363e2fc0259ad1a52d56c4bb8f794ddee1	74abf54480a1b2021b03ee72781a9548e6316cc532be317460d77272c201ebb2	same	same
v1.14.1	v1.15.0-alpha.0	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.14.1	v1.15.0-alpha.0	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
v1.14.1	v1.99.0	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.14.1	v1.99.0	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
v1.14.1	bogus	default	1:M3	1:M4	none	none	none	none
v1.14.1	bogus	1.36.2	1:M3	1:M4	none	none	none	none
v1.15.0-alpha.0	current	default	0:M1	0:M2	5d2fb5e06e34e92b8aafe49adb702ab1f4d5338b1f969c67ed02c10ed9539d37	34533285ad10957d54a8d16d431083d87494759fd27430298acc87721147c075	same	same
v1.15.0-alpha.0	current	1.36.2	0:M1	0:M2	6f90c3edb7039f8664e5233f94c51701849860416a4446124f866250cf1d1056	5df8c243e4d577a6da00cdd0bf0d65211faaa7f881932797ae2d2b38f488930e	same	same
